date,CO2,rolling,monthsine,monthcosine
1963-6,321.31,318.5909091,1.22E-16,-1
1963-7,319.58,318.8027273,-0.5,-0.866025404
1963-8,317.61,318.9390909,-0.866025404,-0.5
1963-9,316.05,319.01,-1,-1.84E-16
1963-10,315.83,318.9463636,-0.866025404,0.5
1963-11,316.91,318.89,-0.5,0.866025404
1963-12,318.2,318.8554545,-2.45E-16,1
1964-1,319.41,318.9,0.5,0.866025404
1964-2,320.07,318.9336364,0.866025404,0.5
1964-3,320.74,318.89,1,6.12E-17
1964-4,321.4,318.8281818,0.866025404,-0.5
1964-5,322.06,318.8963636,0.5,-0.866025404
1964-6,321.73,319.0918182,1.22E-16,-1
1964-7,320.27,319.3336364,-0.5,-0.866025404
1964-8,318.54,319.56,-0.866025404,-0.5
1964-9,316.54,319.6245455,-1,-1.84E-16
1964-10,316.71,319.6063636,-0.866025404,0.5
1964-11,317.53,319.5454545,-0.5,0.866025404
1964-12,318.55,319.4672727,-2.45E-16,1
1965-1,319.27,319.3945455,0.5,0.866025404
1965-2,320.28,319.3527273,0.866025404,0.5
1965-3,320.73,319.2918182,1,6.12E-17
1965-4,321.97,319.2836364,0.866025404,-0.5
1965-5,322,319.3081818,0.5,-0.866025404
1965-6,321.71,319.4390909,1.22E-16,-1
1965-7,321.05,319.6672727,-0.5,-0.866025404
1965-8,318.71,319.8645455,-0.866025404,-0.5
1965-9,317.66,319.9509091,-1,-1.84E-16
1965-10,317.14,319.9154545,-0.866025404,0.5
1965-11,318.7,319.9290909,-0.5,0.866025404
1965-12,319.25,319.9272727,-2.45E-16,1
1966-1,320.46,319.9436364,0.5,0.866025404
1966-2,321.43,320.0072727,0.866025404,0.5
1966-3,322.23,320.0309091,1,6.12E-17
1966-4,323.54,320.1709091,0.866025404,-0.5
1966-5,323.91,320.3709091,0.5,-0.866025404
1966-6,323.59,320.6018182,1.22E-16,-1
1966-7,322.24,320.9227273,-0.5,-0.866025404
1966-8,320.2,321.1536364,-0.866025404,-0.5
1966-9,318.48,321.2754545,-1,-1.84E-16
1966-10,317.94,321.2063636,-0.866025404,0.5
1966-11,319.63,321.2409091,-0.5,0.866025404
1966-12,320.87,321.2781818,-2.45E-16,1
1967-1,322.17,321.3454545,0.5,0.866025404
1967-2,322.34,321.3554545,0.866025404,0.5
1967-3,322.88,321.2954545,1,6.12E-17
1967-4,324.25,321.3263636,0.866025404,-0.5
1967-5,324.83,321.4390909,0.5,-0.866025404
1967-6,323.93,321.5927273,1.22E-16,-1
1967-7,322.38,321.7909091,-0.5,-0.866025404
1967-8,320.76,321.9981818,-0.866025404,-0.5
1967-9,319.1,322.1036364,-1,-1.84E-16
1967-10,319.24,322.0681818,-0.866025404,0.5
1967-11,320.56,322.04,-0.5,0.866025404
1967-12,321.8,322.0063636,-2.45E-16,1
1968-1,322.4,322.0118182,0.5,0.866025404
1968-2,322.99,322.0218182,0.866025404,0.5
1968-3,323.73,321.9745455,1,6.12E-17
1968-4,324.86,321.9772727,0.866025404,-0.5
1968-5,325.4,322.1109091,0.5,-0.866025404
1968-6,325.2,322.3672727,1.22E-16,-1
1968-7,323.98,322.66,-0.5,-0.866025404
1968-8,321.95,322.9190909,-0.866025404,-0.5
1968-9,320.18,323.0045455,-1,-1.84E-16
1968-10,320.09,322.9618182,-0.866025404,0.5
1968-11,321.16,322.9036364,-0.5,0.866025404
1968-12,322.74,322.9345455,-2.45E-16,1
1969-1,323.83,323.0109091,0.5,0.866025404
1969-2,324.26,323.0590909,0.866025404,0.5
1969-3,325.47,323.1145455,1,6.12E-17
1969-4,326.5,323.2145455,0.866025404,-0.5
1969-5,327.21,323.3972727,0.5,-0.866025404
1969-6,326.54,323.63,1.22E-16,-1
1969-7,325.72,323.9727273,-0.5,-0.866025404
1969-8,323.5,324.2745455,-0.866025404,-0.5
1969-9,322.22,324.4681818,-1,-1.84E-16
1969-10,321.62,324.51,-0.866025404,0.5
1969-11,322.69,324.5054545,-0.5,0.866025404
1969-12,323.95,324.5163636,-2.45E-16,1
1970-1,324.89,324.5736364,0.5,0.866025404
1970-2,325.82,324.6054545,0.866025404,0.5
1970-3,326.77,324.63,1,6.12E-17
1970-4,327.97,324.6990909,0.866025404,-0.5
1970-5,327.91,324.8236364,0.5,-0.866025404
1970-6,327.5,324.9854545,1.22E-16,-1
1970-7,326.18,325.2290909,-0.5,-0.866025404
1970-8,324.53,325.4390909,-0.866025404,-0.5
1970-9,322.93,325.5581818,-1,-1.84E-16
1970-10,322.9,325.5772727,-0.866025404,0.5
1970-11,323.85,325.5681818,-0.5,0.866025404
1970-12,324.96,325.5745455,-2.45E-16,1
1971-1,326.01,325.5918182,0.5,0.866025404
1971-2,326.51,325.5681818,0.866025404,0.5
1971-3,327.01,325.4809091,1,6.12E-17
1971-4,327.62,325.4545455,0.866025404,-0.5
1971-5,328.76,325.5690909,0.5,-0.866025404
1971-6,328.4,325.7709091,1.22E-16,-1
1971-7,327.2,326.0136364,-0.5,-0.866025404
1971-8,325.27,326.2263636,-0.866025404,-0.5
1971-9,323.2,326.2536364,-1,-1.84E-16
1971-10,323.4,326.2127273,-0.866025404,0.5
1971-11,324.63,326.1827273,-0.5,0.866025404
1971-12,325.85,326.1681818,-2.45E-16,1
1972-1,326.6,326.1763636,0.5,0.866025404
1972-2,327.47,326.2181818,0.866025404,0.5
1972-3,327.58,326.2145455,1,6.12E-17
1972-4,329.56,326.2872727,0.866025404,-0.5
1972-5,329.9,326.4236364,0.5,-0.866025404
1972-6,328.92,326.58,1.22E-16,-1
1972-7,327.88,326.8172727,-0.5,-0.866025404
1972-8,326.16,327.0863636,-0.866025404,-0.5
1972-9,324.68,327.2027273,-1,-1.84E-16
1972-10,325.04,327.24,-0.866025404,0.5
1972-11,326.34,327.2845455,-0.5,0.866025404
1972-12,327.39,327.3563636,-2.45E-16,1
1973-1,328.37,327.4381818,0.5,0.866025404
1973-2,329.4,327.6036364,0.866025404,0.5
1973-3,330.14,327.6563636,1,6.12E-17
1973-4,331.33,327.7863636,0.866025404,-0.5
1973-5,332.31,328.0945455,0.5,-0.866025404
1973-6,331.9,328.46,1.22E-16,-1
1973-7,330.7,328.8727273,-0.5,-0.866025404
1973-8,329.15,329.2790909,-0.866025404,-0.5
1973-9,327.35,329.4890909,-1,-1.84E-16
1973-10,327.02,329.5509091,-0.866025404,0.5
1973-11,327.99,329.6054545,-0.5,0.866025404
1973-12,328.48,329.6154545,-2.45E-16,1
1974-1,329.18,329.5954545,0.5,0.866025404
1974-2,330.55,329.6327273,0.866025404,0.5
1974-3,331.32,329.6318182,1,6.12E-17
1974-4,332.48,329.6472727,0.866025404,-0.5
1974-5,332.92,329.74,0.5,-0.866025404
1974-6,332.08,329.8654545,1.22E-16,-1
1974-7,331.01,330.0345455,-0.5,-0.866025404
1974-8,329.23,330.2054545,-0.866025404,-0.5
1974-9,327.27,330.2281818,-1,-1.84E-16
1974-10,327.21,330.1572727,-0.866025404,0.5
1974-11,328.29,330.14,-0.5,0.866025404
1974-12,329.41,330.1609091,-2.45E-16,1
1975-1,330.23,330.1318182,0.5,0.866025404
1975-2,331.25,330.1254545,0.866025404,0.5
1975-3,331.87,330.07,1,6.12E-17
1975-4,333.14,330.09,0.866025404,-0.5
1975-5,333.8,330.2463636,0.5,-0.866025404
1975-6,333.43,330.4663636,1.22E-16,-1
1975-7,331.73,330.6936364,-0.5,-0.866025404
1975-8,329.9,330.9327273,-0.866025404,-0.5
1975-9,328.4,331.0409091,-1,-1.84E-16
1975-10,328.17,331.03,-0.866025404,0.5
1975-11,329.32,331.0218182,-0.5,0.866025404
1975-12,330.59,331.0545455,-2.45E-16,1
1976-1,331.58,331.0845455,0.5,0.866025404
1976-2,332.39,331.1318182,0.866025404,0.5
1976-3,333.33,331.1490909,1,6.12E-17
1976-4,334.41,331.2045455,0.866025404,-0.5
1976-5,334.71,331.3209091,0.5,-0.866025404
1976-6,334.17,331.5427273,1.22E-16,-1
1976-7,332.89,331.8145455,-0.5,-0.866025404
1976-8,330.77,332.03,-0.866025404,-0.5
1976-9,329.14,332.1181818,-1,-1.84E-16
1976-10,328.78,332.0690909,-0.866025404,0.5
1976-11,330.14,332.0281818,-0.5,0.866025404
1976-12,331.52,332.0227273,-2.45E-16,1
1977-1,332.75,332.0554545,0.5,0.866025404
1977-2,333.24,332.0472727,0.866025404,0.5
1977-3,334.53,332.0581818,1,6.12E-17
1977-4,335.9,332.1663636,0.866025404,-0.5
1977-5,336.57,332.3845455,0.5,-0.866025404
1977-6,336.1,332.6763636,1.22E-16,-1
1977-7,334.76,333.0390909,-0.5,-0.866025404
1977-8,332.59,333.3527273,-0.866025404,-0.5
1977-9,331.42,333.5927273,-1,-1.84E-16
1977-10,330.98,333.6690909,-0.866025404,0.5
1977-11,332.24,333.7345455,-0.5,0.866025404
1977-12,333.68,333.8190909,-2.45E-16,1
1978-1,334.8,333.9609091,0.5,0.866025404
1978-2,335.22,334.0236364,0.866025404,0.5
1978-3,336.47,334.0754545,1,6.12E-17
1978-4,337.59,334.1681818,0.866025404,-0.5
1978-5,337.84,334.3263636,0.5,-0.866025404
1978-6,337.72,334.5954545,1.22E-16,-1
1978-7,336.37,334.9390909,-0.5,-0.866025404
1978-8,334.51,335.22,-0.866025404,-0.5
1978-9,332.6,335.3672727,-1,-1.84E-16
1978-10,332.38,335.38,-0.866025404,0.5
1978-11,333.75,335.3863636,-0.5,0.866025404
1978-12,334.78,335.3845455,-2.45E-16,1
1979-1,336.05,335.46,0.5,0.866025404
1979-2,336.59,335.4709091,0.866025404,0.5
1979-3,337.79,335.4890909,1,6.12E-17
1979-4,338.71,335.5681818,0.866025404,-0.5
1979-5,339.3,335.7118182,0.5,-0.866025404
1979-6,339.12,335.9618182,1.22E-16,-1
1979-7,337.56,336.2390909,-0.5,-0.866025404
1979-8,335.92,336.5409091,-0.866025404,-0.5
1979-9,333.75,336.6654545,-1,-1.84E-16
1979-10,333.7,336.6609091,-0.866025404,0.5
1979-11,335.12,336.6918182,-0.5,0.866025404
1979-12,336.56,336.7381818,-2.45E-16,1
1980-1,337.84,336.8518182,0.5,0.866025404
1980-2,338.19,336.8881818,0.866025404,0.5
1980-3,339.91,336.9972727,1,6.12E-17
1980-4,340.6,337.1154545,0.866025404,-0.5
1980-5,341.29,337.3127273,0.5,-0.866025404
1980-6,341,337.6254545,1.22E-16,-1
1980-7,339.39,337.9409091,-0.5,-0.866025404
1980-8,337.43,338.2754545,-0.866025404,-0.5
1980-9,335.72,338.4590909,-1,-1.84E-16
1980-10,335.84,338.5245455,-0.866025404,0.5
1980-11,336.93,338.5581818,-0.5,0.866025404
1980-12,338.04,338.5763636,-2.45E-16,1
1981-1,339.06,338.6554545,0.5,0.866025404
1981-2,340.3,338.6909091,0.866025404,0.5
1981-3,341.21,338.7463636,1,6.12E-17
1981-4,342.33,338.8409091,0.866025404,-0.5
1981-5,342.74,338.9990909,0.5,-0.866025404
1981-6,342.08,339.2436364,1.22E-16,-1
1981-7,340.32,339.5063636,-0.5,-0.866025404
1981-8,338.26,339.7372727,-0.866025404,-0.5
1981-9,336.52,339.7990909,-1,-1.84E-16
1981-10,336.68,339.7763636,-0.866025404,0.5
1981-11,338.19,339.79,-0.5,0.866025404
1981-12,339.44,339.8245455,-2.45E-16,1
1982-1,340.57,339.8490909,0.5,0.866025404
1982-2,341.44,339.87,0.866025404,0.5
1982-3,342.53,339.8881818,1,6.12E-17
1982-4,343.39,339.9472727,0.866025404,-0.5
1982-5,343.96,340.1181818,0.5,-0.866025404
1982-6,343.18,340.3781818,1.22E-16,-1
1982-7,341.88,340.7072727,-0.5,-0.866025404
1982-8,339.65,340.9918182,-0.866025404,-0.5
1982-9,337.81,341.0945455,-1,-1.84E-16
1982-10,337.69,341.0490909,-0.866025404,0.5
1982-11,339.09,341.0172727,-0.5,0.866025404
1982-12,340.32,340.9945455,-2.45E-16,1
1983-1,341.2,340.9727273,0.5,0.866025404
1983-2,342.35,340.9563636,0.866025404,0.5
1983-3,342.93,340.9145455,1,6.12E-17
1983-4,344.77,340.9881818,0.866025404,-0.5
1983-5,345.58,341.2063636,0.5,-0.866025404
1983-6,345.14,341.5027273,1.22E-16,-1
1983-7,343.81,341.8809091,-0.5,-0.866025404
1983-8,342.21,342.2809091,-0.866025404,-0.5
1983-9,339.69,342.4627273,-1,-1.84E-16
1983-10,339.82,342.5290909,-0.866025404,0.5
1983-11,340.98,342.5890909,-0.5,0.866025404
1983-12,342.82,342.7363636,-2.45E-16,1
1984-1,343.52,342.8427273,0.5,0.866025404
1984-2,344.33,342.97,0.866025404,0.5
1984-3,345.11,343.0009091,1,6.12E-17
1984-4,346.88,343.1190909,0.866025404,-0.5
1984-5,347.25,343.3109091,0.5,-0.866025404
1984-6,346.62,343.5663636,1.22E-16,-1
1984-7,345.22,343.84,-0.5,-0.866025404
1984-8,343.11,344.1509091,-0.866025404,-0.5
1984-9,340.9,344.2490909,-1,-1.84E-16
1984-10,341.18,344.2672727,-0.866025404,0.5
1984-11,342.8,344.2654545,-0.5,0.866025404
1984-12,344.04,344.3127273,-2.45E-16,1
1985-1,344.79,344.3545455,0.5,0.866025404
1985-2,345.82,344.4190909,0.866025404,0.5
1985-3,347.25,344.4527273,1,6.12E-17
1985-4,348.17,344.5363636,0.866025404,-0.5
1985-5,348.74,344.7290909,0.5,-0.866025404
1985-6,348.07,344.9881818,1.22E-16,-1
1985-7,346.38,345.2854545,-0.5,-0.866025404
1985-8,344.51,345.6136364,-0.866025404,-0.5
1985-9,342.92,345.7718182,-1,-1.84E-16
1985-10,342.62,345.7554545,-0.866025404,0.5
1985-11,344.06,345.7572727,-0.5,0.866025404
1985-12,345.38,345.8109091,-2.45E-16,1
1986-1,346.11,345.8372727,0.5,0.866025404
1986-2,346.78,345.7945455,0.866025404,0.5
1986-3,347.68,345.75,1,6.12E-17
1986-4,349.37,345.8072727,0.866025404,-0.5
1986-5,350.03,345.9854545,0.5,-0.866025404
1986-6,349.37,346.2572727,1.22E-16,-1
1986-7,347.76,346.5527273,-0.5,-0.866025404
1986-8,345.73,346.8081818,-0.866025404,-0.5
1986-9,344.68,346.9954545,-1,-1.84E-16
1986-10,343.99,346.9890909,-0.866025404,0.5
1986-11,345.48,346.9981818,-0.5,0.866025404
1986-12,346.72,347.0536364,-2.45E-16,1
1987-1,347.84,347.15,0.5,0.866025404
1987-2,348.29,347.2054545,0.866025404,0.5
1987-3,349.23,347.1927273,1,6.12E-17
1987-4,350.8,347.2627273,0.866025404,-0.5
1987-5,351.66,347.4709091,0.5,-0.866025404
1987-6,351.07,347.7718182,1.22E-16,-1
1987-7,349.33,348.0990909,-0.5,-0.866025404
1987-8,347.92,348.3936364,-0.866025404,-0.5
1987-9,346.27,348.6009091,-1,-1.84E-16
1987-10,346.18,348.6645455,-0.866025404,0.5
1987-11,347.64,348.7481818,-0.5,0.866025404
1987-12,348.78,348.8336364,-2.45E-16,1
1988-1,350.25,349.0118182,0.5,0.866025404
1988-2,351.54,349.2218182,0.866025404,0.5
1988-3,352.05,349.3354545,1,6.12E-17
1988-4,353.41,349.4945455,0.866025404,-0.5
1988-5,354.04,349.7645455,0.5,-0.866025404
1988-6,353.62,350.1545455,1.22E-16,-1
1988-7,352.22,350.5454545,-0.5,-0.866025404
1988-8,350.27,350.9090909,-0.866025404,-0.5
1988-9,348.55,351.1245455,-1,-1.84E-16
1988-10,348.72,351.2227273,-0.866025404,0.5
1988-11,349.91,351.3254545,-0.5,0.866025404
1988-12,351.18,351.41,-2.45E-16,1
1989-1,352.6,351.5063636,0.5,0.866025404
1989-2,352.92,351.5854545,0.866025404,0.5
1989-3,353.53,351.5963636,1,6.12E-17
1989-4,355.26,351.7072727,0.866025404,-0.5
1989-5,355.52,351.88,0.5,-0.866025404
1989-6,354.97,352.13,1.22E-16,-1
1989-7,353.75,352.4463636,-0.5,-0.866025404
1989-8,351.52,352.7163636,-0.866025404,-0.5
1989-9,349.64,352.8,-1,-1.84E-16
1989-10,349.83,352.7927273,-0.866025404,0.5
1989-11,351.14,352.7890909,-0.5,0.866025404
1989-12,352.37,352.7681818,-2.45E-16,1
1990-1,353.5,352.8209091,0.5,0.866025404
1990-2,354.55,352.9136364,0.866025404,0.5
1990-3,355.23,352.9109091,1,6.12E-17
1990-4,356.04,352.9581818,0.866025404,-0.5
1990-5,357,353.1427273,0.5,-0.866025404
1990-6,356.07,353.3536364,1.22E-16,-1
1990-7,354.67,353.64,-0.5,-0.866025404
1990-8,352.76,353.9236364,-0.866025404,-0.5
1990-9,350.82,354.0136364,-1,-1.84E-16
1990-10,351.04,354.0045455,-0.866025404,0.5
1990-11,352.69,354.0336364,-0.5,0.866025404
1990-12,354.07,354.0854545,-2.45E-16,1
1991-1,354.59,354.0890909,0.5,0.866025404
1991-2,355.63,354.1254545,0.866025404,0.5
1991-3,357.03,354.2154545,1,6.12E-17
1991-4,358.48,354.35,0.866025404,-0.5
1991-5,359.22,354.6363636,0.5,-0.866025404
1991-6,358.12,354.95,1.22E-16,-1
1991-7,356.06,355.25,-0.5,-0.866025404
1991-8,353.92,355.5318182,-0.866025404,-0.5
1991-9,352.05,355.6236364,-1,-1.84E-16
1991-10,352.11,355.5709091,-0.866025404,0.5
1991-11,353.64,355.5318182,-0.5,0.866025404
1991-12,354.89,355.5590909,-2.45E-16,1
1992-1,355.88,355.5818182,0.5,0.866025404
1992-2,356.63,355.5454545,0.866025404,0.5
1992-3,357.72,355.4763636,1,6.12E-17
1992-4,359.07,355.4627273,0.866025404,-0.5
1992-5,359.58,355.5954545,0.5,-0.866025404
1992-6,359.17,355.8781818,1.22E-16,-1
1992-7,356.94,356.1527273,-0.5,-0.866025404
1992-8,354.92,356.4136364,-0.866025404,-0.5
1992-9,352.94,356.4890909,-1,-1.84E-16
1992-10,353.23,356.4518182,-0.866025404,0.5
1992-11,354.09,356.3790909,-0.5,0.866025404
1992-12,355.33,356.3290909,-2.45E-16,1
1993-1,356.63,356.3290909,0.5,0.866025404
1993-2,357.1,356.2727273,0.866025404,0.5
1993-3,358.32,356.2045455,1,6.12E-17
1993-4,359.41,356.1890909,0.866025404,-0.5
1993-5,360.23,356.2854545,0.5,-0.866025404
1993-6,359.55,356.5227273,1.22E-16,-1
1993-7,357.53,356.76,-0.5,-0.866025404
1993-8,355.48,356.9909091,-0.866025404,-0.5
1993-9,353.67,357.0309091,-1,-1.84E-16
1993-10,353.95,357.0181818,-0.866025404,0.5
1993-11,355.3,357.0154545,-0.5,0.866025404
1993-12,356.78,357.0290909,-2.45E-16,1
1994-1,358.34,357.1418182,0.5,0.866025404
1994-2,358.89,357.1936364,0.866025404,0.5
1994-3,359.95,357.2427273,1,6.12E-17
1994-4,361.25,357.3354545,0.866025404,-0.5
1994-5,361.67,357.5281818,0.5,-0.866025404
1994-6,360.94,357.8381818,1.22E-16,-1
1994-7,359.55,358.2081818,-0.5,-0.866025404
1994-8,357.49,358.5554545,-0.866025404,-0.5
1994-9,355.84,358.7272727,-1,-1.84E-16
1994-10,356,358.7909091,-0.866025404,0.5
1994-11,357.59,358.8645455,-0.5,0.866025404
1994-12,359.05,358.9290909,-2.45E-16,1
1995-1,359.98,359.0281818,0.5,0.866025404
1995-2,361.03,359.1263636,0.866025404,0.5
1995-3,361.66,359.1636364,1,6.12E-17
1995-4,363.48,359.3281818,0.866025404,-0.5
1995-5,363.82,359.59,0.5,-0.866025404
1995-6,363.3,359.9309091,1.22E-16,-1
1995-7,361.94,360.3354545,-0.5,-0.866025404
1995-8,359.5,360.6681818,-0.866025404,-0.5
1995-9,358.11,360.86,-1,-1.84E-16
1995-10,357.8,360.8790909,-0.866025404,0.5
1995-11,359.61,360.93,-0.5,0.866025404
1995-12,360.74,360.9990909,-2.45E-16,1
1996-1,362.09,361.0954545,0.5,0.866025404
1996-2,363.29,361.2436364,0.866025404,0.5
1996-3,364.06,361.2963636,1,6.12E-17
1996-4,364.76,361.3818182,0.866025404,-0.5
1996-5,365.45,361.5772727,0.5,-0.866025404
1996-6,365.01,361.8563636,1.22E-16,-1
1996-7,363.7,362.2381818,-0.5,-0.866025404
1996-8,361.54,362.55,-0.866025404,-0.5
1996-9,359.51,362.7054545,-1,-1.84E-16
1996-10,359.65,362.7090909,-0.866025404,0.5
1996-11,360.8,362.7145455,-0.5,0.866025404
1996-12,362.38,362.7409091,-2.45E-16,1
1997-1,363.23,362.7354545,0.5,0.866025404
1997-2,364.06,362.7354545,0.866025404,0.5
1997-3,364.61,362.7218182,1,6.12E-17
1997-4,366.4,362.8081818,0.866025404,-0.5
1997-5,366.84,362.9745455,0.5,-0.866025404
1997-6,365.68,363.1545455,1.22E-16,-1
1997-7,364.52,363.4254545,-0.5,-0.866025404
1997-8,362.57,363.7036364,-0.866025404,-0.5
1997-9,360.24,363.7572727,-1,-1.84E-16
1997-10,360.83,363.76,-0.866025404,0.5
1997-11,362.49,363.77,-0.5,0.866025404
1997-12,364.34,363.8709091,-2.45E-16,1
